id,name,hint_url,was_verified,agent_first_pass_authentication,agent_first_pass_self_serve,agent_first_pass_buildable,agent_final_authentication,agent_final_self_serve,agent_final_buildable,human_authentication,human_self_serve,human_buildable,human_notes
11,Zendesk,zendesk.com,True,['OAuth2'],self_serve_trial,True,['OAuth2'],self_serve_trial,True,['OAuth2'],self_serve_trial,True,Basic Auth deprecated in v2 but OAuth2 confirmed working. Trial at zendesk.com/register.
9,Copper,copper.com,True,"['API key', 'OAuth2']",self_serve_trial,True,"['OAuth2', 'API key']",self_serve_trial,True,['API key'],self_serve_trial,True,OAuth2 not found in current public docs. API key only in Settings > API Keys. 14-day trial available.
13,Freshdesk,freshdesk.com,True,"['API key', 'OAuth2']",self_serve_trial,True,"['API key', 'OAuth2']",self_serve_trial,True,"['API key', 'OAuth2']",self_serve_free,True,Free forever plan confirmed (up to 10 agents). No trial needed.
14,Front,front.com,True,"['API key', 'OAuth2']",self_serve_trial,True,"['API key', 'OAuth2']",self_serve_trial,True,"['API key', 'OAuth2']",self_serve_trial,True,Both confirmed. API token in Settings > Developers. 7-day trial.
15,Pylon,usepylon.com,True,"['API key', 'OAuth2']",gated_paid_plan,True,"['API key', 'OAuth2']",gated_paid_plan,True,['API key'],gated_paid_plan,True,Paid plan required. No free tier. Demo required to onboard.
16,LiveAgent,liveagent.com,True,['API key'],self_serve_trial,True,['API key'],self_serve_trial,True,['API key'],self_serve_trial,True,API key confirmed in developer docs. 14-day free trial available.
17,Plain,plain.com,True,['API key'],self_serve_trial,True,['API key'],self_serve_trial,True,['API key'],self_serve_free,True,Free tier confirmed for small teams. GraphQL API only. API key in workspace settings.
20,Gladly,gladly.com,True,"['API key', 'OAuth2']",gated_paid_plan,True,"['API key', 'OAuth2']",gated_paid_plan,True,['API key'],gated_partnership,False,Enterprise only. Must contact sales. No self-serve signup. OAuth2 not found in docs. Not buildable without partnership agreement.
24,Lark (Larksuite),open.larksuite.com,True,"['OAuth2', 'Token']",self_serve_free,True,"['OAuth2', 'Token']",self_serve_free,True,"['OAuth2', 'App Token']",self_serve_free,True,Both confirmed. Free developer account at open.larksuite.com. App creation instant.
27,Telegram,core.telegram.org,True,['API key'],self_serve_free,True,['API key'],self_serve_free,True,['Bot Token'],self_serve_free,True,Auth is Bot Token via @BotFather not API key. Instant creation. Fully free.
28,WhatsApp Business,developers.facebook.com/docs/whatsapp,True,"['OAuth2', 'Token']",self_serve_trial,True,"['OAuth2', 'Token']",self_serve_trial,True,['System User Token'],self_serve_free,True,System User Token via Meta Business Suite. Free tier 1000 conversations/month. Self-serve with Meta developer account.
30,Vonage,developer.vonage.com,True,"['API key', 'Token']",self_serve_trial,True,"['API key', 'Token']",self_serve_trial,True,"['API key', 'JWT']",self_serve_trial,True,API key + secret and JWT both confirmed. Free trial with €2 credit on signup.
52,SE Ranking,seranking.com/api,True,['API key'],self_serve_trial,True,['API key'],self_serve_trial,True,['API key'],self_serve_trial,True,API key confirmed. 14-day trial available. API access included in trial.
55,Apify,docs.apify.com,True,['API key'],self_serve_free,True,['API key'],self_serve_free,True,['API key'],self_serve_free,True,API token at console.apify.com. Free tier with $5/month compute. Instant signup.
58,Sherlock,github.com/sherlock-project/sherlock,True,['Other'],self_serve_free,False,['Other'],self_serve_free,False,['None'],self_serve_free,False,CLI tool only. No REST API. Cannot be called as agent tool without subprocess wrapper.
62,Vercel,vercel.com/docs/rest-api,True,['Token'],self_serve_free,True,['Token'],self_serve_free,True,['Bearer Token'],self_serve_free,True,Bearer token confirmed. Free hobby tier. Token in Account Settings > Tokens instantly.
64,Cloudflare,developers.cloudflare.com/api,True,"['API key', 'Token']",self_serve_free,True,"['API key', 'Token']",self_serve_free,True,"['API Token', 'Global API Key']",self_serve_free,True,Both confirmed. API Token recommended. Free tier available. Instant dashboard access.
68,MongoDB Atlas,mongodb.com/docs/atlas/api,True,['API key'],self_serve_free,True,['API key'],self_serve_free,True,"['Public Key', 'Private Key']",self_serve_free,True,Public + Private key pair (Digest Auth) confirmed. Free M0 cluster. Keys in Access Manager.
80,Harvest,help.getharvest.com/api-v2,True,['OAuth2'],self_serve_trial,True,['OAuth2'],self_serve_trial,True,"['OAuth2', 'Personal Access Token']",self_serve_free,True,Both OAuth2 and PAT confirmed. Free plan (1 seat 2 projects). PAT at id.getharvest.com instantly.
90,PitchBook,pitchbook.com,True,['API key'],gated_paid_plan,False,"['API key', 'OAuth2']",gated_paid_plan,True,['API key'],gated_partnership,False,Enterprise subscription only. Must contact sales. Agent final pass incorrectly marked buildable=True. Corrected to False.
95,Reducto,reducto.ai,True,['API key'],self_serve_trial,True,['API key'],self_serve_trial,True,['API key'],self_serve_free,True,Free trial credits on signup. No credit card required. Instant API key at app.reducto.ai.
96,Devin,docs.devin.ai,True,['Other'],gated_paid_plan,False,['Token'],gated_paid_plan,True,['API key'],gated_paid_plan,True,API key confirmed at docs.devin.ai. Paid plan required ($500+/month). MCP server available. Buildable with paid account.
